date	Black	Hispanic	White	Asian
2008	77.5	75.0	87.9	88.0
2009	79.8	90.6	89.0	92.0
2010	85.3	90.7	91.6	90.9
2011	89.5	89.4	94.4	97.8
2012	89.2	85.4	94.9	95.2
2013	91.5	92.3	92.7	100.0
2014	88.8	90.6	93.6	83.3
2015	89.3	95.0	93.5	94.1
