date	Black	Hispanic	White	Asian
2008	82.2	90.8	91.8	93.0
2009	83.9	89.6	91.7	94.8
2010	84.4	87.3	92.5	93.4
2011	85.7	90.9	92.1	97.9
2012	85.5	91.6	93.4	94.5
2013	84.8	92.5	94.8	96.1
2014	85.7	89.4	94.2	96.0
2015	87.9	91.7	93.4	99.1
