date	Black	Hispanic	White	Asian
2008	74.0	73.5	86.1	92.5
2009	74.7	81.2	87.4	88.9
2010	78.0	79.9	90.6	100.0
2011	83.3	86.6	93.4	98.5
2012	85.0	89.7	95.1	96.6
2013	88.1	90.7	93.3	88.9
2014	91.1	91.5	95.7	95.2
2015	90.4	91.3	96.6	100.0
